section,comparison_or_condition,metric,value,notes
broad,curriculum current vs weaker,food_delivered_mean,1.60 vs 0.00,"From 20260406_130911 tables/family_summary.csv"
broad,curriculum current vs weaker,p_value,0.016130,"Welch t-test from 20260406_130911 tables/statistical_tests.csv"
broad,current_mappo vs rule_based,food_delivered_mean,1.60 vs 0.00,"From 20260406_130911 tables/family_summary.csv"
broad,current_mappo vs rule_based,p_value,0.016130,"Welch t-test from 20260406_130911 tables/statistical_tests.csv"
broad,current_mappo vs random,food_delivered_mean,1.60 vs 0.00,"From 20260406_130911 tables/family_summary.csv"
broad,current_mappo vs random,p_value,0.016130,"Welch t-test from 20260406_130911 tables/statistical_tests.csv"
broad,swarm size scaling 1 to 30 agents,food_delivered_mean,0.00 to 6.20,"From 20260406_130911 tables/family_summary.csv"
broad,robustness control vs more_obstacles,food_delivered_mean,1.60 vs 1.20,"From 20260406_130911 tables/family_summary.csv"
broad,robustness control vs failed_agents_2,food_delivered_mean,1.60 vs 1.20,"From 20260406_130911 tables/family_summary.csv"
broad,generic pheromone ablation,food_delivered_mean,1.60 vs 2.20,"From 20260406_130911 tables/family_summary.csv"
broad,generic pheromone ablation,p_value,0.371628,"Welch t-test from 20260406_130911 tables/statistical_tests.csv"
killer,6 agents matched training,food_delivered_mean,0.00 vs 0.00,"All three 6-agent killer conditions collapsed to zero deliveries in this 5-run bundle"
killer,6 agents matched training,paired_t_p_food_delivered,NaN,"From 20260406_130911 killer_scaling/tables/statistical_tests.csv"
killer,6 agents matched training,wilcoxon_p_food_delivered,1.000000,"From 20260406_130911 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,food_delivered_mean,0.40 vs 0.00,"trained_with_pheromone__eval_with_pheromone vs trained_without_pheromone__eval_without_pheromone"
killer,30 agents matched training,paired_t_p_food_delivered,0.373901,"From 20260406_130911 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,wilcoxon_p_food_delivered,0.479500,"From 20260406_130911 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,late_deliveries_mean,0.40 vs 0.00,"From 20260406_130911 killer_scaling/tables/condition_summary.csv"
killer,30 agents matched training,paired_t_p_late_deliveries,0.373901,"From 20260406_130911 killer_scaling/tables/statistical_tests.csv"
killer,30 agents eval-time pheromone removal,late_deliveries_mean,0.40 vs 0.00,"trained_with_pheromone eval with vs without pheromone at 30 agents"
killer,30 agents eval-time pheromone removal,paired_t_p_late_deliveries,0.373901,"From 20260406_130911 killer_scaling/tables/statistical_tests.csv"
