section,comparison_or_condition,metric,value,notes
broad,curriculum current vs weaker,food_delivered_mean,1.25 vs 0.00,"From 20260406_102744 tables/family_summary.csv"
broad,curriculum current vs weaker,p_value,0.000828,"Welch t-test from 20260406_102744 tables/statistical_tests.csv"
broad,current_mappo vs rule_based,food_delivered_mean,1.25 vs 0.30,"From 20260406_102744 tables/family_summary.csv"
broad,current_mappo vs rule_based,p_value,0.012250,"Welch t-test from 20260406_102744 tables/statistical_tests.csv"
broad,current_mappo vs random,food_delivered_mean,1.25 vs 0.05,"From 20260406_102744 tables/family_summary.csv"
broad,current_mappo vs random,p_value,0.001235,"Welch t-test from 20260406_102744 tables/statistical_tests.csv"
broad,swarm size scaling 1 to 30 agents,food_delivered_mean,0.05 to 4.65,"From 20260406_102744 tables/family_summary.csv"
broad,robustness control vs more_obstacles,food_delivered_mean,1.25 vs 0.65,"From 20260406_102744 tables/family_summary.csv"
broad,robustness control vs failed_agents_2,food_delivered_mean,1.25 vs 0.70,"From 20260406_102744 tables/family_summary.csv"
broad,generic pheromone ablation,food_delivered_mean,1.25 vs 1.05,"From 20260406_102744 tables/family_summary.csv"
broad,generic pheromone ablation,p_value,0.625411,"Welch t-test from 20260406_102744 tables/statistical_tests.csv"
killer,6 agents matched training,food_delivered_mean,1.32 vs 0.00,"trained_with_pheromone__eval_with_pheromone vs trained_without_pheromone__eval_without_pheromone"
killer,6 agents matched training,paired_t_p_food_delivered,0.006534,"From 20260406_102744 killer_scaling/tables/statistical_tests.csv"
killer,6 agents matched training,wilcoxon_p_food_delivered,0.003639,"From 20260406_102744 killer_scaling/tables/statistical_tests.csv"
killer,6 agents matched training,late_deliveries_mean,0.90 vs 0.00,"From 20260406_102744 killer_scaling/tables/condition_summary.csv"
killer,6 agents matched training,paired_t_p_late_deliveries,0.015349,"From 20260406_102744 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,food_delivered_mean,2.66 vs 0.00,"trained_with_pheromone__eval_with_pheromone vs trained_without_pheromone__eval_without_pheromone"
killer,30 agents matched training,paired_t_p_food_delivered,0.000847,"From 20260406_102744 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,wilcoxon_p_food_delivered,0.000010,"From 20260406_102744 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,late_deliveries_mean,1.12 vs 0.00,"From 20260406_102744 killer_scaling/tables/condition_summary.csv"
killer,30 agents matched training,paired_t_p_late_deliveries,0.018681,"From 20260406_102744 killer_scaling/tables/statistical_tests.csv"
killer,30 agents eval-time pheromone removal,late_deliveries_mean,1.12 vs 0.84,"trained_with_pheromone eval with vs without pheromone"
killer,30 agents eval-time pheromone removal,paired_t_p_late_deliveries,0.226574,"From 20260406_102744 killer_scaling/tables/statistical_tests.csv"
