section,comparison_or_condition,metric,value,notes
broad,curriculum current vs weaker,food_delivered_mean,3.875 vs 0.00,"From 20260406_132534 tables/family_summary.csv"
broad,curriculum current vs weaker,p_value,0.000201,"Welch t-test from 20260406_132534 tables/statistical_tests.csv"
broad,current_mappo vs rule_based,food_delivered_mean,3.875 vs 0.375,"From 20260406_132534 tables/family_summary.csv"
broad,current_mappo vs rule_based,p_value,0.000236,"Welch t-test from 20260406_132534 tables/statistical_tests.csv"
broad,current_mappo vs random,food_delivered_mean,3.875 vs 0.00,"From 20260406_132534 tables/family_summary.csv"
broad,current_mappo vs random,p_value,0.000201,"Welch t-test from 20260406_132534 tables/statistical_tests.csv"
broad,swarm size scaling 1 to 30 agents,food_delivered_mean,0.625 to 5.625,"From 20260406_132534 tables/family_summary.csv"
broad,robustness control vs more_obstacles,food_delivered_mean,3.875 vs 1.625,"From 20260406_132534 tables/family_summary.csv"
broad,robustness control vs failed_agents_2,food_delivered_mean,3.875 vs 2.75,"From 20260406_132534 tables/family_summary.csv"
broad,generic pheromone ablation,food_delivered_mean,3.875 vs 3.25,"From 20260406_132534 tables/family_summary.csv"
broad,generic pheromone ablation,p_value,0.379047,"Welch t-test from 20260406_132534 tables/statistical_tests.csv"
killer,6 agents matched training,food_delivered_mean,0.125 vs 0.00,"trained_with_pheromone__eval_with_pheromone vs trained_without_pheromone__eval_without_pheromone"
killer,6 agents matched training,paired_t_p_food_delivered,0.350617,"From 20260406_132534 killer_scaling/tables/statistical_tests.csv"
killer,6 agents matched training,wilcoxon_p_food_delivered,0.546494,"From 20260406_132534 killer_scaling/tables/statistical_tests.csv"
killer,6 agents matched training,late_deliveries_mean,0.00 vs 0.00,"From 20260406_132534 killer_scaling/tables/condition_summary.csv"
killer,6 agents matched training,paired_t_p_late_deliveries,nan,"From 20260406_132534 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,food_delivered_mean,1.50 vs 0.00,"trained_with_pheromone__eval_with_pheromone vs trained_without_pheromone__eval_without_pheromone"
killer,30 agents matched training,paired_t_p_food_delivered,0.163515,"From 20260406_132534 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,wilcoxon_p_food_delivered,0.064978,"From 20260406_132534 killer_scaling/tables/statistical_tests.csv"
killer,30 agents matched training,late_deliveries_mean,0.125 vs 0.00,"From 20260406_132534 killer_scaling/tables/condition_summary.csv"
killer,30 agents matched training,paired_t_p_late_deliveries,0.350617,"From 20260406_132534 killer_scaling/tables/statistical_tests.csv"
killer,30 agents eval-time pheromone removal,food_delivered_mean,1.50 vs 1.50,"trained_with_pheromone eval with vs without pheromone"
killer,30 agents eval-time pheromone removal,late_deliveries_mean,0.125 vs 0.00,"From 20260406_132534 killer_scaling/tables/condition_summary.csv"
